Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,157.139999,157.699997,154.860001,155.669998,2661800,155.669998
2016-10-06,156.839996,157.429993,155.889999,156.880005,1950100,156.880005
2016-10-05,157.070007,157.830002,156.720001,157.080002,1684500,157.080002
2016-10-04,157.669998,158.529999,155.820007,156.460007,2884100,156.460007
2016-10-03,158.059998,158.369995,157.020004,157.610001,2227800,157.610001
2016-09-30,158.899994,159.839996,158.059998,158.850006,3596900,158.850006
2016-09-29,158.630005,165.00,157.460007,158.110001,3374800,158.110001
2016-09-28,156.990005,158.630005,156.229996,158.289993,3310000,158.289993
2016-09-27,154.320007,156.770004,153.809998,156.770004,2987200,156.770004
2016-09-26,154.460007,154.460007,153.460007,153.979996,2533300,153.979996
2016-09-23,155.619995,156.039993,154.710007,154.979996,2702200,154.979996
2016-09-22,156.149994,157.220001,155.690002,156.110001,2691100,156.110001
2016-09-21,154.910004,155.679993,153.869995,155.529999,2473900,155.529999
2016-09-20,155.869995,156.570007,154.449997,154.449997,2159100,154.449997
2016-09-19,154.869995,156.190002,154.550003,154.869995,2450100,154.869995
2016-09-16,155.039993,155.399994,153.470001,153.839996,6463600,153.839996
2016-09-15,154.300003,156.330002,153.210007,155.660004,3645600,155.660004
2016-09-14,155.699997,155.869995,153.389999,154.050003,3860600,154.050003
2016-09-13,157.630005,157.929993,155.50,155.809998,3636700,155.809998
2016-09-12,155.259995,158.529999,154.839996,158.289993,4367500,158.289993
2016-09-09,158.029999,158.399994,155.649994,155.690002,5186000,155.690002
